mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
ethnic,Peloponnesians,7.84,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
place,Assinarus,7.84,369151WAss,Assinaros river (Sicily) 4 Asinaro,36.87573,15.12726,river
ethnic,Syracusans,7.85,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Lacedaemonians,7.85,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
demonym,Sicilian,7.85,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
place,Catana,7.85,375151PCat,Katane/Catina (Sicily) 164 Catania - Κατάνη,37.503,15.0881,polity
ethnic,Syracusans,7.86,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.86,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Lacedaemonians,7.86,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
ethnic,Corinthians,7.86,379229PKor,Corinth/Korinthos (Korinthia) 1749 Archaia Korinthos - Κόρινθος,37.9054,22.8802,polity
place,Pylos,7.86,370217UPyl,Pylos/Koryphasion cape (Messenia) 112 Akr. Koryphasiou - Πύλος,36.9517,21.66,polity
ethnic,Syracusans,7.87,371153PSyr,Syracuse (Sicily) 1628 Siracusa - Συράκουσαι,37.0639,15.293,polity
ethnic,Athenians,7.87,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Siceliots,7.87,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
ethnic,Thracians,7.9,410265RThr,Thrace region (Evros) 1818 Thraki - Θραίκη,41.0,26.5,region/people
demonym,Athenian,7.9,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
place,Amphipolis,7.9,408238PAmp,Amphipolis (Serres) 247 Amphipolis - Αμφίπολις,40.822,23.847,polity
place,Strymon,7.9,408238WStr,Strymon R. (Serres) 155 Strymon - Στρυμών,40.7858,23.8489,river
place,Sicily,8.1,376145RSic,Sicily region (Italy) 3245 Sicilia - Σικελία,37.6,14.5,region/people
