mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Calpe,2.648,412302UKal,Kalpe (Pontus) 21 Kerpe - Κάλπη,41.1501,30.1958,polity
demonym,Haemonian,2.669,394223RThs,Thessaly region (Hellas) 1628 Thessalia - Θεσσαλία,39.4,22.3,region/people
place,Thynias,2.669,412303IThy,Apollonia/Thynias I. (Pontus) 19 Kefken adasi - Θυνιάς,41.2157,30.2593,island
place,Lycia,2.669,365295RLyc,Lycia region (Asia Minor) 599 SW Asia Minor - Λυκία,36.5,29.5,region/people
demonym,Bistonian,2.694,410251WBis,Bistonis (Xanthi) 44 Lake Vistonis - Βιστονία,41.03,25.12,lake
demonym,Corycian,2.694,385225CKor,Korykion (Phokis) 29 above Delphi - Κωρύκιον,38.5158,22.5217,cave
place,Parnassus,2.694,385226LPar,Parnassus Mt. (Phokis) 272 Parnassos - Παρνασσός,38.5354,22.6219,mountain
place,Pleistus,2.694,385225WPle,Pleistos river (Phokis) 30 Xeropotamos - Πλειστός,38.4672,22.4775,river
ethnic,Mariandyni,2.720,409312RMar,Mariandynoi (Pontus) 53 Dyzce - Μαριανδυνοί,40.86,31.2,region/people
ethnic,Megarians,2.720,380233PMeg,Megara (Megarid) 713 Megara - Μέγαρα,37.997,23.34285,polity
ethnic,Mariandyni,2.720,409312RMar,Mariandynoi (Pontus) 53 Dyzce - Μαριανδυνοί,40.86,31.2,region/people
demonym,Bithynian,2.720,405295RBit,Bithynia region (Asia Minor) 589 Yalova - Βιθυνία,40.5,29.5,region/people
demonym,Nisaean,2.720,380234UNis,Nisaia (Attica) 79 Pachi - Νισαία,37.9764,23.364,polity
demonym,Acherusian,2.720,393208WAch,Acherusia (Preveza) 34 Kastri dry lake - Αχερουσία λίμνη,39.253,20.553,lake
place,Sangarius,2.720,411306WSan,Sangarius R. (Asia Minor) 72 Karasu - Σαγγάριος,41.109,30.645,river
place,Lycus,2.720,412314WLyk,Lykos river (Pontus) 12 Aydinlar Cayi - Λύκος,41.2497,31.4315,river
ethnic,Mariandyni,2.752,409312RMar,Mariandynoi (Pontus) 53 Dyzce - Μαριανδυνοί,40.86,31.2,region/people
demonym,Lemnian,2.752,399253ILem,Lemnos (Aegean) 341 Lemnos - Λήμνος,39.93,25.21,island
demonym,Mysian,2.752,375275RMys,Mysia region (Asia Minor) 336  - Μυσία,40.0,28.0,region/people
place,Cyzicus,2.752,404279UCyz,Kyzikos (Mysia) 341 Belkis - Κύζικος,40.3895,27.8878,polity
place,Cius,2.752,404292UPru,Prusias/Kios (Bithynia) 84 Gemlik - Προυσιάς/Κίος,40.4325,29.1564,polity
place,Cyanean rocks,2.752,412291IKya,Kyaneai-Symplegades (Pontus) 71 Rumelifeneri - Κυάνεαι,41.234,29.11517,island
ethnic,Mysians,2.774,375275RMys,Mysia region (Asia Minor) 336  - Μυσία,40.0,28.0,region/people
ethnic,Phrygians,2.774,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
ethnic,Bithynians,2.774,405295RBit,Bithynia region (Asia Minor) 589 Yalova - Βιθυνία,40.5,29.5,region/people
ethnic,Paphlagonians,2.774,410300RPap,Paphlagonia region (Pontus) 293 Kocaeli/Sakarya - Παφλαγονία,41.0,30.0,region/people
demonym,Acherusian,2.774,393208WAch,Acherusia (Preveza) 34 Kastri dry lake - Αχερουσία λίμνη,39.253,20.553,lake
place,Rhebas,2.774,412292WRhe,Rhebas R. (Pontus) 18 Riva Deresi - Ρήβας,41.2147,29.2205,river
place,Hypios,2.774,410310WHyp,Hypios river (Bithynia) 13 Buyukmelen Cay,41.0713,30.96423,river
place,Thermodon,2.774,412369WThe,Thermodon R. (Pontus) 89 Terme R. - Θερμώδων,41.194,36.942,river
ethnic,Boeotians,2.835,384233RBoi,Boiotia region (Boeotia) 1673 Viotia - Βοιωτία,38.35,23.25,region/people
ethnic,Nisaeans,2.835,380234UNis,Nisaia (Attica) 79 Pachi - Νισαία,37.9764,23.364,polity
demonym,Acherusian,2.835,393208WAch,Acherusia (Preveza) 34 Kastri dry lake - Αχερουσία λίμνη,39.253,20.553,lake
place,Imbrasus,2.851,377269WImb,Imbrasos R. (Samos) 13 Imbrasos - Ίμβρασος,37.6664,26.8842,river
ethnic,Indians,2.899,300740RInd,India (Asia) 1628 India - Ινδία,30.0,74.0,region/people
place,Acheron,2.899,392205WAch,Acheron R. (Preveza) 163 Akheron - Αχέρων,39.2348,20.4831,river
