mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Mycale,1.25.1,377271LMyc,Mykale Mt. (Ionia),37.6667,27.0833,mountain
person,Teos,1.25.1,382268PTeo,Teos (Ionia),38.1717,26.7877,polity
person,Lesbos,1.25.1,392261ILes,Lesbos (Lesbos),39.2075,26.2,island
place,Thrace,1.25.2,410265RThr,Thrace region (Evros),41,26.5,region/people
place,Pallene,1.25.2,400236LPal,Pallene/Phlegra (Chalkidike),40.06,23.41,region/people
ethnic,Athenians,1.25.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Persians,1.25.2,295540RPer,Persia (Asia),29.5,54,region/people
place,Marathon,1.25.2,381241LMaB,Marathon battlefield (Attica),38.144,24.0002,battlefield
place,Mysia,1.25.2,375275RMys,Mysia region (Asia Minor),40,28,region/people
place,Chaeronea,1.25.3,385228PCha,Chaironea (Boeotia),38.4944,22.8416,polity
place,Macedon,1.25.3,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
place,Athens,1.25.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Athenians,1.25.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Macedonians,1.25.3,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
ethnic,Athenians,1.25.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Macedonians,1.25.3,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
ethnic,Peloponnesians,1.25.4,375222RPel,Peloponnese (Hellas),37.54,22.15,region/people
place,Argos,1.25.4,376227PArg,Argos (Argolid),37.63091,22.72079,polity
place,Epidaurus,1.25.4,376232PEpi,Epidauros (Argolid),37.6331,23.1617,polity
place,Sicyon,1.25.4,380227PSik,Sikyon (Korinthia),37.9834,22.7145,polity
place,Troezen,1.25.4,375234PTro,Troizen (Troizenia),37.5033,23.3484,polity
ethnic,Eleans,1.25.4,378215REle,Eleia or Elis region (Eleia),37.8,21.5,region/people
ethnic,Phliasians,1.25.4,378226PPhl,Phlious (Korinthia),37.846,22.648,polity
place,Messene,1.25.4,372219PMes,Messene (Messenia),37.1779,21.9195,polity
demonym,Corinthian,1.25.4,379229PKor,Corinth/Korinthos (Korinthia),37.9054,22.8802,polity
ethnic,Locrians,1.25.4,384222ROzo,Ozolian Lokris region (Phokis),38.4,22.2,region/people
ethnic,Phocians,1.25.4,386227RPho,Phokis region (Central Greece),38.6,22.7,region/people
ethnic,Thessalians,1.25.4,394223RThs,Thessaly region (Hellas),39.4,22.3,region/people
place,Carystus,1.25.4,380244PKar,Karystos (Euboea),38.027,24.427,polity
ethnic,Acarnanians,1.25.4,388210RAka,Akarnania region (Akarnania),38.8,21,region/people
ethnic,Boeotians,1.25.4,384233RBoi,Boiotia region (Boeotia),38.35,23.25,region/people
place,Thebaid,1.25.4,262327UThe,Thebais (Egypt),26.25,32.75,region/people
ethnic,Thebans,1.25.4,383233PThe,Thebes (Boeotia),38.3191,23.3178,polity
ethnic,Athenians,1.25.4,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Thebes,1.25.4,383233PThe,Thebes (Boeotia),38.3191,23.3178,polity
demonym,Macedonian,1.25.4,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
person,Athenian,1.25.5,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Persia,1.25.5,295540RPer,Persia (Asia),29.5,54,region/people
demonym,Macedonian,1.25.5,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
ethnic,Athenians,1.25.5,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Munychia,1.25.5,379237HMou,Mounichia (Piraeus),37.938,23.658,harbor
place,Peiraeus,1.25.5,379236HPei,Piraeus (Attica),37.9394,23.6448,deme
place,Long Walls,1.25.5,380237FLW1,S Long Wall 1 (Athens),37.96235,23.7026,fortification
place,Epeirus,1.25.6,395205REpe,Epiros region (Thesprotia),39.5,20.5,region/people
ethnic,Athenians,1.25.6,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Panactum,1.25.6,382235FPan,Panakton (Attica),38.1841,23.5059,fortification
place,Attica,1.25.6,379239RAtt,Attica region (Hellas),37.9,23.9,region/people
place,Salamis,1.25.6,379235PSal,Salamis (Salamis),37.952,23.5408,polity
place,Athens,1.25.6,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Athenians,1.25.7,380237PAth,Athens (Attica),37.9718,23.72793,polity
demonym,Athenian,1.25.7,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Boeotia,1.25.7,384233RBoi,Boiotia region (Boeotia),38.35,23.25,region/people
place,Acropolis,1.25.7,380237SAkr,Athenian Acropolis (Athens),37.9717,23.7257,sanctuary/temple
place,Coronea,1.25.8,384230PKor,Koroneia (Boeotia),38.3912,22.9571,polity
ethnic,Athenians,1.25.8,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Peiraeus,1.25.8,379236HPei,Piraeus (Attica),37.9394,23.6448,deme
place,Museum,1.25.8,380237LMus,Mouseion Hill (Athens),37.9674,23.7215,hill
place,Acropolis,1.25.8,380237SAkr,Athenian Acropolis (Athens),37.9717,23.7257,sanctuary/temple
place,buried,1.25.8,380237SMou,Heroon of Mousaios (Athens),37.96764,23.72117,sanctuary/temple
place,monument,1.25.8,380237BPhi,Philopappous Monument (Athens),37.9673,23.7214,building
place,Athens,1.26.1,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Macedonians,1.26.1,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
ethnic,Macedonians,1.26.1,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
place,Museum,1.26.1,380237SMou,Heroon of Mousaios (Athens),37.96764,23.72117,sanctuary/temple
place,Athens,1.26.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Macedonians,1.26.2,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
ethnic,Athenians,1.26.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Museum,1.26.2,380237SMou,Heroon of Mousaios (Athens),37.96764,23.72117,sanctuary/temple
ethnic,Athenians,1.26.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Peiraeus,1.26.3,379236HPei,Piraeus (Attica),37.9394,23.6448,deme
place,Munychia,1.26.3,379237HMou,Mounichia (Piraeus),37.938,23.658,harbor
ethnic,Macedonians,1.26.3,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
place,Eleusis,1.26.3,380235PEle,Eleusis (Attica),38.0441,23.5415,polity
ethnic,Eleusinians,1.26.3,380235PEle,Eleusis (Attica),38.0441,23.5415,polity
place,Attica,1.26.3,379239RAtt,Attica region (Hellas),37.9,23.9,region/people
place,Aetolia,1.26.3,386215RAit,Aitolia region (Aitolia),38.6,21.5,region/people
ethnic,Aetolians,1.26.3,386215RAit,Aitolia region (Aitolia),38.6,21.5,region/people
ethnic,Athenians,1.26.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Athens,1.26.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Acropolis,1.26.3,380237SAkr,Athenian Acropolis (Athens),37.9717,23.7257,sanctuary/temple
place,Prytaneum,1.26.3,380237BPry,Prytaneion (Athens),37.9709,23.7307,building
